Year,State,Hospital_Type,ED_Wait_Min,Seen_On_Time_Percent,Admissions,Readmission_30_Days_Percent,Mortality_Per_1000,Avg_Cost_Per_Patient_AUD,Doctors,Nurses,ICU_Beds,Patient_Satisfaction_Percent,Profit_Million_AUD
2021,WA,Public,33.7,77,37397,6.08,6.88,3641,253,1551,136,90,69.4
2021,WA,Public,31.9,92,129198,18.64,2.8,8346,660,864,80,94,52.45
2023,NT,Public,18.5,70,127323,19.37,3.4,7729,399,791,26,82,26.52
2025,VIC,Public,28.4,68,65406,6.17,4.72,6627,737,1130,12,85,-11.35
2022,NSW,Private,22.5,83,67657,12.99,5.1,9594,192,1368,38,84,-14.31
2022,QLD,Private,26.3,80,87560,9.55,6.58,11387,238,473,31,76,17.43
2023,NT,Private,26.5,89,143178,10.89,4.68,13085,321,1378,63,74,26.38
2022,NSW,Private,23.8,69,124143,7.69,6.74,6275,581,707,116,63,40.91
2021,WA,Private,21.1,57,144745,13.67,5.71,7050,349,562,78,81,-19.35
2025,VIC,Private,21.5,77,146896,19.37,2.68,7553,475,1548,129,76,78.97
2024,SA,Private,20.4,83,33503,12.55,2.94,7925,95,1047,56,81,16.39
2022,VIC,Private,20.8,88,74943,6.24,4.62,5304,144,854,29,76,64.81
2021,NT,Private,24.7,87,95839,14.3,4.38,14792,113,497,30,73,33.5
2024,WA,Private,21.4,77,102674,10.1,6.46,6343,462,693,10,73,-6.96
2025,VIC,Public,28.4,61,45345,17.84,5.48,5056,692,745,26,76,59.76
2024,ACT,Private,32.4,57,138423,11.52,4.33,5808,58,503,60,67,50.98
2021,VIC,Public,22.1,86,70390,7.89,3.02,10092,508,1690,23,93,32.74
2024,WA,Public,26.2,85,115041,7.87,3.36,12416,764,1103,68,85,31.46
2023,TAS,Public,27.5,72,79557,16.53,5.45,10226,458,438,92,89,-11.25
2024,ACT,Public,27.4,61,85054,8.98,4.54,3886,519,849,59,81,45.58
2022,VIC,Private,25.4,55,21906,16.51,5.09,11584,555,1989,133,75,71.12
2022,QLD,Public,28.7,68,60167,8.09,3.02,12867,735,1740,43,89,-10.68
2023,QLD,Private,27.4,86,27961,9.83,5.98,14382,122,1083,15,75,6.35
2021,VIC,Private,18.8,60,46140,11.98,7.12,10720,133,1399,118,83,70.23
2022,TAS,Public,29.3,93,144098,19.15,3.55,5446,108,609,58,94,8.43
2025,SA,Private,29.4,64,139289,18.98,4.95,6905,70,925,15,65,45.39
2022,WA,Public,21.2,61,78701,8.1,7.85,9474,507,1587,126,63,33.48
2022,QLD,Public,25.2,80,97567,10.37,4.0,14530,206,1246,127,77,39.63
2021,SA,Private,28.4,88,100664,7.24,5.57,6591,378,517,16,65,21.58
2024,VIC,Private,24.0,84,101199,12.65,2.54,14958,622,724,106,85,10.0
2022,NT,Public,30.4,90,149856,11.91,5.64,13719,625,1104,127,86,-15.15
2023,SA,Private,36.8,75,119764,18.51,2.54,5181,729,1976,138,70,54.43
2024,ACT,Private,21.1,71,101218,18.95,7.76,14956,252,1499,36,75,54.61
2025,NSW,Private,18.1,87,142357,10.75,6.29,8011,690,1223,125,78,47.07
2021,QLD,Public,26.5,64,100729,12.38,6.73,8030,155,1827,140,74,44.36
2025,VIC,Public,28.6,66,48561,18.44,6.22,3354,171,819,67,85,4.37
2024,NT,Private,23.8,70,70568,17.1,5.54,5631,367,1152,98,90,-17.77
2024,WA,Private,32.3,86,129349,5.05,4.7,4521,231,1452,106,78,60.87
2024,NT,Private,18.3,69,93302,9.8,7.15,5672,664,1887,26,83,29.11
2025,TAS,Private,28.5,81,115380,11.33,7.74,14370,365,1331,110,68,10.68
2024,ACT,Private,22.0,82,114968,8.45,4.99,5337,674,1000,38,82,-9.81
2025,VIC,Public,33.6,71,49504,7.99,7.59,9968,455,1115,111,63,-13.73
2024,WA,Private,35.0,56,136116,5.57,5.5,3628,119,1399,132,69,14.89
2023,TAS,Public,21.2,90,57146,14.65,5.23,10162,209,519,63,68,60.47
2024,TAS,Private,22.3,61,60297,8.94,4.73,5679,289,1509,36,78,71.87
2025,VIC,Public,29.3,67,106394,5.79,3.26,8266,572,1075,111,74,69.68
2022,ACT,Private,23.1,69,147173,8.46,2.02,7422,187,528,126,93,72.0
2024,SA,Public,24.8,79,145942,17.03,3.45,12630,544,952,113,78,70.77
2022,SA,Private,25.1,77,88607,17.77,5.06,10463,728,856,54,80,32.72
2023,TAS,Public,15.4,76,36939,12.25,4.28,12613,296,1579,123,93,1.94
2021,SA,Public,24.9,80,110467,11.24,4.69,4126,592,1237,96,76,59.8
2023,NSW,Public,21.6,87,70715,19.67,7.88,13875,573,1498,40,77,1.37
2024,TAS,Public,22.5,65,64460,8.01,4.1,4780,292,270,46,76,6.72
2022,TAS,Public,32.2,64,86576,8.23,4.71,12723,669,1026,45,61,3.33
2022,WA,Public,18.7,79,88222,9.38,2.8,13106,385,1418,128,60,31.5
2025,SA,Private,29.1,91,32666,7.59,2.29,12424,471,1064,14,69,12.18
2022,ACT,Public,23.6,92,82119,10.69,6.65,13148,243,1127,61,64,-4.58
2025,TAS,Private,23.6,78,55321,18.66,5.42,9571,357,1746,58,71,25.32
2021,NT,Private,29.0,94,21779,14.23,6.56,11584,694,305,15,90,67.39
2024,ACT,Private,26.7,87,33186,11.18,2.9,3825,555,969,132,68,37.06
2025,NSW,Private,27.9,71,36459,19.02,5.43,14155,330,1092,147,85,67.83
2021,WA,Private,29.8,78,106246,5.73,3.52,10276,724,395,127,74,-0.41
2022,VIC,Public,23.3,91,107755,8.15,3.37,5395,488,344,32,75,-3.3
2022,ACT,Public,21.9,56,25057,13.49,2.07,7145,764,1955,119,72,37.56
2021,TAS,Public,19.6,86,80663,14.23,2.78,10059,657,1573,53,84,26.33
2022,NSW,Private,20.9,78,38733,5.59,3.86,8492,532,1647,50,89,46.02
2021,QLD,Public,39.7,63,39157,11.05,2.7,10111,272,670,59,66,59.46
2025,NSW,Public,31.2,58,55030,14.74,7.92,12984,798,1909,61,63,55.13
2025,NSW,Public,18.2,71,39613,15.47,3.85,14256,166,415,79,89,74.23
2021,WA,Public,18.4,71,128612,14.57,2.78,9792,241,1316,118,69,19.83
2025,VIC,Public,27.4,84,135080,9.81,3.19,12555,667,459,127,89,0.64
2025,QLD,Private,27.7,94,103028,6.4,5.53,13540,565,1133,118,66,35.09
2025,SA,Public,27.7,65,106282,11.41,2.38,6551,579,774,104,94,-8.93
2023,SA,Private,23.7,75,25188,6.93,7.17,10711,356,1764,53,83,8.89
2024,ACT,Private,24.4,75,127106,19.21,7.77,6628,581,484,76,79,0.79
2022,NSW,Private,26.6,72,148346,12.13,3.48,14528,171,683,76,91,19.66
2023,NT,Private,25.4,83,49680,9.76,4.7,4565,698,571,27,85,-8.88
2025,WA,Private,13.9,78,123361,16.49,2.13,6667,641,269,69,85,-16.82
2021,NT,Public,23.9,64,80119,12.47,5.84,13405,203,578,83,94,45.68
2025,WA,Public,20.7,71,122302,9.65,4.48,9459,586,1502,58,94,41.02
2024,SA,Public,25.9,72,94400,17.18,3.62,7096,501,1966,24,71,50.84
2025,ACT,Private,39.9,74,75718,18.01,3.24,4019,218,501,82,92,46.04
2021,ACT,Public,26.8,91,56445,15.1,5.92,10928,108,454,57,73,-8.57
2024,ACT,Public,23.4,72,25796,5.7,4.5,12476,350,1907,81,92,9.11
2025,QLD,Private,29.6,71,67218,13.49,3.08,11254,602,1143,122,83,-7.05
2024,VIC,Private,27.4,63,59131,16.45,6.13,13722,599,891,138,74,64.3
2022,QLD,Private,27.1,68,28123,7.05,5.39,14584,166,1487,144,90,54.69
2022,TAS,Private,28.0,83,28222,8.43,7.15,8965,176,1918,62,76,0.15
2025,TAS,Public,35.3,85,44074,18.24,2.7,14464,454,1033,27,71,14.13
2024,NT,Private,19.3,58,131958,5.3,6.71,5269,448,916,21,81,76.66
2021,VIC,Private,27.4,72,136088,16.29,6.04,11835,564,623,57,82,39.42
2025,SA,Public,20.4,74,49825,12.11,2.69,7721,547,1984,39,85,60.12
2022,VIC,Public,27.8,63,56839,11.7,6.17,11408,577,412,106,73,6.46
2022,WA,Private,20.4,67,127112,5.11,4.65,3195,447,1894,16,71,1.01
2025,TAS,Public,22.9,69,147514,17.29,7.67,6273,314,299,101,63,58.39
2024,NSW,Private,23.5,81,88322,10.4,2.85,8110,312,1335,122,72,48.59
2022,NSW,Private,29.9,69,76321,13.11,5.86,13886,447,507,12,77,48.1
2024,SA,Public,29.6,82,119174,15.16,4.29,10401,695,877,116,87,35.26
2022,WA,Public,18.8,91,122500,15.54,7.74,6212,774,674,72,78,36.36
2022,NT,Private,25.3,73,130100,19.34,3.98,5755,576,1771,143,62,53.57
2023,QLD,Private,21.5,80,45988,12.97,7.77,4521,485,311,111,78,7.0
2022,WA,Private,18.7,80,55507,11.0,7.41,8674,409,1310,24,79,15.28
2021,NSW,Public,23.9,79,119244,19.31,3.62,4080,178,382,100,84,67.16
2025,NSW,Private,23.5,80,118644,14.63,6.82,8623,683,796,90,70,10.89
2025,NT,Private,37.1,80,145788,9.47,7.97,3721,290,364,70,76,34.63
2024,TAS,Private,27.2,82,115251,6.9,3.52,4562,676,1014,129,94,50.26
2022,WA,Private,18.1,72,43806,17.64,4.62,3639,758,289,70,73,79.99
2021,WA,Private,22.2,86,56901,10.43,5.12,7260,271,654,62,78,23.53
2024,NSW,Public,30.1,57,37043,14.91,3.77,8190,263,437,35,62,22.81
2023,QLD,Private,35.4,56,95761,12.06,2.09,14979,641,733,124,93,64.26
2024,SA,Private,17.1,87,29752,7.98,3.32,6736,184,1902,49,81,60.55
2024,ACT,Private,15.6,73,88993,14.03,3.69,10746,435,926,97,86,53.11
2022,SA,Private,34.4,71,62616,5.91,4.66,3089,352,257,125,80,26.32
2023,WA,Public,26.9,87,72127,11.2,3.03,14113,336,741,145,90,12.39
2024,SA,Public,20.7,66,94777,13.2,7.24,4251,611,1221,30,86,40.87
2021,NSW,Public,27.7,57,20453,11.54,6.23,12294,238,817,52,61,67.62
2021,NSW,Private,11.8,80,95432,16.23,2.51,7703,346,601,30,68,68.38
2025,NT,Private,25.0,89,142872,17.42,5.9,3348,575,1205,140,78,-9.15
2023,WA,Public,26.6,62,107362,16.57,5.92,7052,438,1041,40,69,22.84
2023,NT,Public,29.6,90,30976,5.58,7.74,5941,508,1902,36,66,26.47
2025,WA,Public,19.9,61,134176,7.91,2.02,11437,793,1889,82,63,77.76
2024,ACT,Private,25.4,90,119122,13.05,3.49,3271,310,1038,106,74,47.8
2023,ACT,Private,20.4,70,90404,19.02,7.57,5030,753,718,99,71,20.72
2021,TAS,Public,26.3,78,101932,17.52,7.59,10836,764,396,53,65,-17.39
2021,WA,Public,20.5,55,117170,17.64,6.32,14379,162,245,52,68,36.54
2022,QLD,Public,23.0,79,97707,9.55,6.59,14698,85,729,40,94,-10.39
2023,SA,Private,20.0,64,109647,11.44,2.55,12657,128,1620,126,67,63.44
2024,WA,Private,28.3,70,53688,12.06,5.08,12387,324,1888,85,66,55.25
2025,VIC,Private,29.3,70,106840,7.36,3.39,14279,327,1199,43,63,26.05
2025,TAS,Public,23.8,62,137106,5.47,3.09,14200,723,975,89,72,22.92
2024,VIC,Public,25.2,83,127810,19.2,6.86,10041,361,273,13,78,69.73
2022,NSW,Private,17.8,93,124779,8.61,2.81,8175,578,1639,81,66,8.85
2025,ACT,Public,23.5,82,113789,8.6,4.81,12806,253,1880,107,69,4.9
2023,SA,Private,24.7,60,116516,6.25,7.63,4126,66,1837,119,84,73.92
2022,WA,Public,38.1,70,22017,18.93,3.11,7379,763,534,37,94,60.92
2023,VIC,Public,19.4,74,27957,13.7,7.87,11708,525,832,139,84,62.06
2021,SA,Public,32.3,70,134534,15.01,7.97,13857,560,887,26,88,-0.48
2022,NSW,Public,30.0,61,127724,18.67,5.33,12493,259,774,67,71,-5.67
2025,ACT,Private,26.4,68,24792,10.18,3.02,11052,548,495,136,71,-17.4
2022,QLD,Public,33.8,80,75982,14.32,3.9,3611,451,1307,18,65,3.7
2022,TAS,Private,26.9,80,33237,5.58,4.55,3749,478,1238,40,69,57.42
2022,SA,Private,26.9,68,71586,7.8,3.86,4856,127,1357,97,61,4.0
2022,SA,Private,24.7,61,101787,17.47,3.68,11591,617,677,71,84,52.91
2023,QLD,Public,31.1,87,39252,16.5,7.83,4526,129,832,28,66,5.19
2021,SA,Private,30.5,80,30707,10.26,2.92,13216,355,518,90,82,19.53
2024,NSW,Private,21.9,74,54206,10.65,6.4,9229,107,1615,116,70,78.32
2022,NSW,Private,18.4,57,114276,13.0,2.0,11511,579,678,64,82,4.48
2025,QLD,Public,24.0,58,23543,5.0,5.58,11527,257,1863,121,66,17.64
2022,TAS,Public,21.0,80,64135,8.62,7.5,5098,560,567,132,86,10.11
2025,WA,Private,24.7,65,136469,8.12,3.73,10865,184,566,74,72,-9.04
2023,VIC,Public,31.2,56,133824,8.76,3.11,3173,571,1511,133,76,28.99
2025,WA,Private,22.7,68,124647,17.09,5.91,12833,630,577,12,91,17.87
2024,SA,Private,24.8,84,55031,9.2,6.28,3500,132,1915,147,85,49.49
2021,VIC,Public,25.3,66,62929,7.87,6.13,6646,670,662,30,81,61.76
2025,NT,Private,29.2,80,85747,12.56,3.92,9219,93,1817,46,72,34.42
2025,QLD,Public,13.8,87,77851,17.98,3.51,5363,532,212,24,71,-16.78
2021,QLD,Public,22.0,67,75311,8.62,7.74,13048,693,735,96,66,41.89
2024,TAS,Private,26.1,68,132113,6.18,7.54,10540,542,1391,129,60,-14.46
2022,VIC,Public,31.0,78,125331,10.35,4.74,14344,548,469,146,92,41.64
2025,NSW,Public,22.5,88,85867,16.21,7.08,4896,67,1293,53,73,48.5
2021,VIC,Private,15.6,80,108780,13.26,4.71,8759,654,1541,48,76,-0.22
2023,SA,Private,28.1,75,77196,17.25,4.55,12910,343,575,142,63,61.93
2021,NSW,Public,21.8,82,93705,19.39,2.94,4778,197,1312,34,60,71.11
2023,ACT,Public,19.1,90,77894,16.89,4.56,6057,521,1924,65,83,61.31
2024,ACT,Private,21.9,94,107640,14.06,5.22,8190,221,456,130,93,10.51
2022,NT,Public,24.1,56,127437,12.4,2.14,9997,612,416,99,93,38.66
2021,ACT,Public,22.0,63,34591,5.6,4.66,13905,580,649,73,83,71.48
2025,QLD,Public,14.0,77,117247,19.76,6.69,7747,169,1093,98,74,12.07
2024,VIC,Public,29.5,69,68893,10.75,6.08,12286,786,1767,121,76,62.0
2021,ACT,Public,31.4,67,20727,7.28,5.81,3045,115,1364,85,72,-19.05
2025,WA,Public,28.3,77,41359,15.0,7.46,10758,190,1384,146,66,-19.64
2021,TAS,Public,19.3,71,63822,9.26,2.11,12637,495,231,147,68,55.97
2023,WA,Private,24.0,56,121547,13.79,5.34,13388,555,1375,19,94,56.14
2021,ACT,Private,25.0,74,135336,13.8,6.72,10053,238,1483,71,82,58.9
2021,NT,Private,28.0,74,123399,11.69,5.25,6201,207,1951,99,82,73.0
2021,TAS,Private,28.3,57,132113,17.54,3.94,3455,659,1502,69,85,-8.21
2024,SA,Private,21.3,66,108534,8.97,2.82,12854,719,1508,116,60,3.2
2021,WA,Public,25.4,94,30929,11.73,7.33,5924,295,809,47,73,70.37
2025,NT,Public,27.3,56,148588,13.07,4.82,10798,797,1116,143,91,-2.28
2023,VIC,Public,32.3,90,80091,14.95,7.27,3965,82,741,56,69,48.22
2023,VIC,Public,28.5,68,100378,16.76,5.52,7964,410,1825,142,60,33.05
2021,WA,Private,28.9,70,43519,10.92,6.05,4528,379,347,87,64,-11.68
2024,ACT,Public,25.4,73,37393,14.69,6.83,5976,561,855,62,62,8.53
2024,NT,Public,32.1,88,54318,7.26,5.95,6071,120,266,71,86,32.04
2025,VIC,Private,27.0,60,94531,18.99,4.39,7869,362,769,32,81,65.24
2021,SA,Public,20.7,67,114192,10.75,5.08,9387,777,1502,53,77,50.75
2023,NSW,Public,32.0,90,67934,15.94,6.82,5521,128,947,61,75,42.19
2024,ACT,Private,28.5,76,125796,5.31,4.24,9525,218,642,55,61,29.6
2021,NT,Public,22.8,72,130805,8.08,4.33,4126,229,1096,93,72,9.87
2024,SA,Public,22.6,66,101103,12.31,2.57,9632,677,598,56,75,-8.08
2024,NT,Public,26.5,84,48840,18.17,7.49,8773,309,1351,100,67,20.91
2023,TAS,Public,27.3,94,138089,12.91,2.55,10716,535,1560,61,67,-17.15
2022,SA,Public,26.0,61,109367,18.95,5.89,6404,54,681,33,69,1.11
2025,ACT,Private,26.6,86,33265,12.26,4.48,7492,346,1944,98,92,23.25
2025,TAS,Private,33.5,73,25424,12.36,4.43,5343,669,1147,73,90,21.86
2023,ACT,Private,30.4,60,40625,6.8,6.08,3106,409,385,128,71,-15.57
2024,VIC,Private,26.0,74,99622,17.04,2.4,13769,166,368,73,68,38.91
2021,NSW,Private,29.7,81,49187,8.7,5.56,6154,406,1907,95,68,34.97
2024,ACT,Private,19.8,91,55929,18.49,6.63,7053,488,1483,65,77,-12.19
2023,ACT,Public,27.0,61,81892,18.66,6.97,7801,380,1940,68,89,74.32
2025,VIC,Private,34.0,59,40539,19.15,3.02,9139,574,1870,142,91,-10.06
2024,QLD,Private,23.9,65,76630,12.8,7.38,8580,703,1781,134,82,65.48
2025,VIC,Public,20.8,69,110639,15.16,5.94,3214,237,706,56,70,-19.97
2021,TAS,Public,21.7,57,113410,16.68,7.29,8400,330,720,130,79,68.23
2025,VIC,Private,19.6,59,29215,6.97,4.91,9875,560,1694,111,78,-18.03
2025,VIC,Public,21.1,77,59385,14.01,5.25,7289,515,360,53,85,55.78
2022,NSW,Private,23.1,91,107580,5.51,7.51,7253,164,1512,24,69,16.17
2022,VIC,Public,18.0,63,97462,12.46,7.4,11656,285,539,114,83,53.82
2022,NT,Private,25.1,69,133396,7.32,4.69,9247,387,1725,60,72,20.17
2025,ACT,Public,29.5,57,117037,7.74,3.65,9177,571,1329,62,93,-12.91
2023,NT,Public,20.5,83,115310,10.48,4.36,10269,248,1698,43,88,56.75
2025,NSW,Private,32.6,60,45008,11.49,4.33,5372,99,1823,133,66,-12.87
2023,WA,Private,27.6,71,68928,14.35,3.72,9834,191,1686,86,89,72.21
2023,QLD,Private,30.2,80,103096,6.12,3.61,11783,577,1706,145,76,-14.9
2022,NT,Private,21.7,75,109876,12.56,7.17,13380,563,903,132,72,27.93
2024,NSW,Private,29.3,62,44976,7.74,2.42,9617,719,1376,79,83,52.3
2021,TAS,Public,19.5,75,133942,13.61,6.07,8150,79,1022,30,90,19.32
2022,WA,Private,29.5,65,144984,14.56,3.04,12075,131,1872,117,86,1.72
2022,NSW,Private,25.9,92,47626,13.35,4.07,11102,80,984,117,80,55.91
2024,NSW,Public,27.8,62,118256,16.07,2.37,7158,797,1372,144,60,58.43
2021,QLD,Public,19.1,78,120537,10.03,3.62,10727,382,1411,99,74,72.27
2025,ACT,Private,20.5,89,79789,16.48,6.61,8206,709,1876,88,62,17.62
2025,NT,Public,28.0,68,24700,11.49,7.31,3303,226,330,51,65,30.63
2022,TAS,Public,20.3,68,129331,12.26,3.33,3333,419,1675,61,73,16.31
2021,SA,Private,27.3,64,83645,14.72,4.78,14025,596,715,111,92,5.71
2022,NT,Public,18.2,66,140594,5.28,4.82,7506,584,1714,114,67,55.1
2023,SA,Public,29.2,92,93396,14.81,7.24,5331,155,1699,88,85,13.97
2022,NSW,Private,18.8,88,27526,14.28,6.58,7561,146,1486,121,74,22.81
2022,VIC,Private,27.8,64,123863,9.65,5.08,3079,279,1761,113,73,20.37
2025,TAS,Public,28.1,71,59500,6.29,6.02,6763,276,1682,25,79,51.27
2025,WA,Public,21.5,71,88049,6.36,7.08,14023,420,735,105,78,71.78
2025,VIC,Private,27.9,57,93366,18.85,2.06,8196,149,940,46,92,46.68
2023,VIC,Public,26.3,85,100317,15.34,4.42,13169,494,980,55,83,27.16
2025,NT,Public,22.3,55,79117,6.91,7.44,3732,517,1860,11,69,57.92
2021,TAS,Public,20.0,66,76096,10.35,6.44,6976,104,1907,128,93,44.1
2024,ACT,Private,15.2,93,27910,13.89,5.26,13009,244,1969,96,75,-13.94
2021,NSW,Public,26.7,58,101383,17.53,5.18,8659,569,1518,103,74,-10.43
2021,NSW,Public,17.2,67,91185,5.65,4.09,4384,473,1658,12,77,-16.21
2025,NSW,Private,25.5,88,70248,8.55,5.12,5124,364,1498,120,66,25.68
2024,NSW,Public,23.7,75,94656,18.35,5.93,9652,177,787,10,81,62.59
2024,NT,Public,28.4,76,21951,5.14,4.51,8283,81,1531,114,91,11.31
2024,SA,Private,23.5,58,85212,8.02,6.28,10176,142,925,31,78,18.42
2023,NSW,Private,23.4,72,95701,19.39,7.17,12390,568,1142,143,60,70.95
2025,SA,Private,28.7,59,99888,14.2,2.93,9605,307,1196,74,94,63.69
2024,SA,Private,26.7,73,95282,8.93,4.71,8707,269,575,30,64,46.5
2023,ACT,Public,26.6,56,129274,6.0,4.45,5292,155,1381,13,71,6.68
2022,NSW,Public,27.3,66,114533,5.42,6.12,11376,597,403,140,71,-8.3
2022,QLD,Private,17.3,71,61954,8.67,3.5,3997,465,1188,122,80,-18.39
2023,WA,Private,28.8,64,109719,18.22,5.84,13178,606,860,39,78,-9.3
2023,VIC,Public,28.1,88,28804,11.24,7.26,14001,358,274,40,68,9.26
2025,SA,Private,19.9,60,112705,15.81,4.51,7664,415,1603,29,91,35.18
2025,TAS,Public,23.8,62,20595,18.77,7.47,5357,570,940,63,94,-13.6
2022,TAS,Private,24.8,65,49592,11.12,7.96,8491,508,503,135,90,-6.38
2024,WA,Public,24.3,66,60643,7.87,2.64,4679,648,1285,24,91,-1.89
2022,TAS,Private,26.7,63,143721,12.76,3.4,8715,419,769,66,91,43.2
2024,QLD,Private,32.2,56,82665,18.62,7.7,14231,380,985,88,89,41.58
2024,TAS,Public,30.4,62,40823,17.07,7.75,7886,738,1331,23,91,35.08
2025,VIC,Private,18.4,65,25972,5.99,2.59,10440,691,1410,100,61,5.05
2021,VIC,Public,28.1,90,35882,15.39,2.09,13703,756,1186,23,70,17.11
2021,SA,Public,31.6,64,86394,13.58,2.97,9821,60,428,108,79,-10.33
2023,NSW,Public,26.9,75,91055,18.61,7.98,6527,556,1271,42,68,2.65
2025,ACT,Public,30.5,74,43769,6.84,3.08,14218,468,467,10,78,69.77
2024,QLD,Public,35.1,62,45020,13.01,5.02,9813,171,926,43,66,77.97
2021,SA,Private,30.1,90,62748,18.19,7.09,5745,284,1001,28,64,44.77
2024,QLD,Private,26.2,83,122621,11.15,2.12,13773,380,453,13,83,71.68
2021,NSW,Public,30.2,66,105374,12.23,5.63,14003,592,1156,86,66,44.27
2021,NT,Private,25.7,68,64912,6.06,3.66,7090,397,1069,67,70,-16.68
2021,TAS,Public,25.1,75,32879,9.17,7.17,9158,461,286,146,68,79.68
2025,TAS,Private,23.2,76,53798,9.87,3.7,11561,273,1404,112,89,-10.1
2022,ACT,Private,32.8,75,127791,19.18,6.12,10471,202,1248,76,62,48.26
2024,NSW,Private,20.9,84,109826,9.24,6.05,6743,261,1611,125,81,5.28
2025,SA,Private,32.7,93,66073,11.91,3.33,13196,141,421,129,79,19.2
2025,ACT,Public,27.5,74,95791,15.07,2.21,12895,380,1189,31,91,44.59
2025,NSW,Public,18.0,78,86983,7.43,4.46,10008,516,596,121,66,23.65
2025,WA,Private,26.8,77,63005,12.3,3.74,6324,690,1137,84,66,5.05
2025,VIC,Private,14.5,61,114731,16.08,6.85,11632,758,710,145,79,13.44
2023,ACT,Public,28.1,63,22850,18.0,6.8,6257,603,760,41,84,14.15
2024,ACT,Private,29.4,55,48400,14.39,4.74,14098,277,1045,76,94,75.93
2025,SA,Public,22.0,80,144948,15.04,5.64,3226,243,639,13,83,59.86
2024,QLD,Public,25.6,92,31953,6.89,5.63,5401,579,1398,39,72,25.85
2023,WA,Public,34.8,92,126410,19.19,6.96,7718,292,510,22,63,-0.02
2023,SA,Private,22.5,76,145155,6.99,4.55,4024,438,1497,30,71,61.1
2024,NSW,Public,19.7,64,43535,16.62,3.65,8672,325,234,50,76,-4.28
2021,NSW,Private,32.4,60,95536,8.97,3.59,10727,499,416,130,60,1.05
2022,NSW,Public,34.8,71,95039,19.0,5.22,14683,688,920,28,76,16.6
2021,NT,Private,25.0,92,141640,15.8,4.69,8280,636,1895,57,61,68.03
2021,NSW,Private,30.1,78,101029,16.31,4.64,3870,623,1215,95,65,-6.82
2021,QLD,Private,31.7,64,24055,8.29,2.55,6199,527,1631,72,70,-7.78
2025,WA,Public,21.3,62,58170,11.65,6.31,4745,529,718,46,77,29.4
2023,TAS,Public,22.6,75,145331,14.27,3.28,8270,337,468,40,84,7.64
2021,VIC,Private,31.2,60,117944,16.55,3.18,11635,747,837,83,87,36.87
2023,QLD,Private,33.4,75,127585,6.56,4.48,8886,739,674,116,75,25.16
2024,QLD,Private,27.8,93,119976,19.44,3.37,8590,727,1548,112,71,23.5
2022,NT,Public,20.6,78,48251,18.35,5.5,10897,744,1579,119,88,-8.8
2024,TAS,Public,34.9,87,24532,9.06,4.23,11664,589,289,29,82,-5.9
2024,TAS,Public,22.3,72,24924,17.34,4.69,11271,379,1265,148,80,62.11
2025,VIC,Public,23.3,82,68037,12.77,5.22,8158,519,1588,95,75,68.59
2022,VIC,Private,26.7,86,98082,11.93,3.22,11431,583,1894,53,85,3.47
2024,TAS,Private,32.8,66,112115,9.72,2.93,3589,516,1425,91,81,-8.65
2024,NSW,Public,29.3,81,91621,13.71,7.28,12552,469,1589,73,69,-14.66
2022,QLD,Public,27.1,64,97926,15.95,4.6,4884,657,1181,131,66,40.83
2022,SA,Private,27.3,86,98816,11.16,4.47,8399,171,487,96,68,51.54
2024,VIC,Public,25.2,80,109654,14.44,2.21,13508,357,1826,74,84,17.28
2022,NT,Public,27.8,79,90400,15.49,4.99,11503,383,680,64,74,47.97
2024,NT,Public,12.4,65,127620,15.67,5.33,4076,469,836,83,72,51.3
2024,VIC,Public,23.5,77,119525,5.78,5.35,10235,375,700,126,85,73.53
2025,TAS,Public,26.2,88,121164,17.9,6.24,9837,698,1861,138,80,-13.51
2021,WA,Public,19.2,94,112385,11.87,3.06,3033,622,251,146,82,-0.77
2024,SA,Private,26.9,77,113102,8.94,3.51,4841,299,302,104,87,-13.15
2023,SA,Public,24.0,83,30702,8.63,6.86,7481,144,1584,108,71,66.8
2021,VIC,Public,33.8,85,126732,12.25,7.68,11440,345,1647,121,83,59.26
2021,NSW,Private,32.9,61,35385,18.3,2.82,4134,233,898,61,72,37.46
2021,WA,Private,22.7,94,29336,10.68,4.99,10261,309,1428,42,61,-11.63
2025,SA,Private,24.2,87,85421,16.25,3.29,8298,716,1237,13,71,7.33
2024,VIC,Public,24.6,75,51225,6.45,2.36,10017,235,1839,96,73,9.77
2025,NT,Private,22.7,56,56021,12.14,3.95,10771,458,1852,84,89,36.07
2024,SA,Public,26.0,72,23782,19.88,2.86,11567,118,669,18,78,5.8
2025,ACT,Public,21.2,87,108877,16.56,6.26,11915,676,1689,73,90,-12.7
2025,WA,Public,19.3,91,135454,8.16,5.2,4913,57,1527,39,84,53.08
2023,WA,Private,28.1,88,137369,12.52,2.86,7297,314,1828,145,63,9.91
2025,ACT,Private,28.1,74,109630,8.5,2.06,13684,533,626,142,72,25.24
2022,QLD,Private,21.0,89,69111,11.14,6.85,4942,666,1879,85,62,-7.23
2023,NT,Private,29.5,72,109402,16.7,3.06,7004,785,309,138,75,60.25
2025,ACT,Private,21.8,78,139774,16.57,5.64,13536,420,1898,24,85,36.55
2021,TAS,Public,26.3,62,142652,8.42,4.02,4331,726,1788,98,78,70.16
2022,TAS,Public,29.1,84,104585,18.83,5.51,10890,132,714,137,74,29.55
2022,VIC,Public,24.8,64,62719,13.89,3.89,7588,695,267,35,91,74.14
